grade,month,day,heat_id,nom_length,billets_qty,l1_length,l2_length,l3_length,l1_romb,l2_romb,l3_romb
SAE 3702,Abril,3,35028326.0,5.42,100,5.41,5.42,5.42,7,11,5.0
SAE 3702,Abril,3,35028327.0,5.42,98,5.42,5.42,5.42,9,3,2.0
SAE 3702,Abril,3,35028328.0,5.42,96,5.41,5.42,5.41,11,11,3.0
SAE 3702,Abril,3,35028329.0,5.42,104,5.41,5.42,5.41,2,2,4.0
SAE 3702,Abril,3,35028330.0,5.42,97,5.41,5.42,5.41,2,2,4.0
SAE 1022,Abril,4,35028331.0,5.13,96,5.13,5.12,5.13,10,12,7.0
SAE 3702,Abril,4,35028332.0,5.42,97,5.41,5.42,5.42,5,3,4.0
SAE 3702,Abril,4,35028333.0,5.42,103,5.42,5.41,5.42,3,2,3.0
SAE 3702,Abril,4,35028334.0,5.42,100,5.41,5.42,5.42,3,2,2.0
SAE 3702,Abril,4,35028335.0,5.42,105,5.42,5.41,5.42,2,2,2.0
SAE 3702,Abril,4,35028336.0,5.42,98,5.42,5.41,5.42,2,2,2.0
SAE 3702,Abril,4,35028337.0,5.42,81,5.42,5.41,5.42,2,3,3.0
SAE 3702,Abril,4,35028338.0,5.42,103,5.43,5.42,5.42,11,11,5.0
SAE 3702,Abril,4,35028339.0,5.42,100,5.42,5.42,5.42,7,4,4.0
SAE 3702,Abril,4,35028340.0,5.42,99,5.42,5.42,5.42,9,3,3.0
SAE 3702,Abril,4,35028341.0,5.42,103,5.42,5.42,5.42,4,3,3.0
SAE 3702,Abril,4,35028342.0,5.42,103,5.42,5.42,5.42,3,3,2.0
SAE 3702,Abril,4,35028343.0,5.42,100,5.42,5.42,5.42,3,2,2.0
SAE 3702,Abril,4,35028349.0,5.42,95,5.42,5.42,5.42,,2,2.0
SAE 3702,Abril,4,35028350.0,5.42,97,5.42,5.42,5.42,,2,4.0
SAE 1022,Abril,7,35028344.0,5.13,90,5.14,5.13,5.13,10,12,5.0
SAE 3702,Abril,7,35028351.0,5.42,98,5.43,5.42,5.42,8,8,6.0
SAE 3702,Abril,7,35028352.0,5.42,99,5.43,5.42,5.42,4,3,3.0
SAE 3702,Abril,7,35028353.0,5.42,102,5.41,5.42,5.42,4,3,2.0
SAE 3702,Abril,7,35028354.0,5.42,101,5.42,5.43,5.42,4,3,2.0
SAE 3702,Abril,7,35028355.0,5.42,102,5.42,5.41,5.43,3,2,2.0
SAE 3702,Abril,7,35028356.0,5.42,103,5.42,5.41,5.42,2,2,4.0
SAE 3702,Abril,7,35028357.0,5.42,103,5.42,5.43,5.42,2,2,6.0
SAE 3702,Abril,7,35028358.0,5.42,102,5.41,5.42,5.41,2,2,6.0
SAE 3702,Abril,7,35028359.0,5.42,102,5.43,5.42,5.42,3,2,2.0
SAE 3702,Abril,7,35028360.0,5.42,100,5.42,5.41,5.43,4,2,2.0
